category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,0,102,31,3,0,60,57,0,179,0,63,90,25,32,67,5,0,9,0,57,0,20,37,16,0,119,1,28,0,75,48,117,36,34,61,30,86,12,129,67,51,0,2,18,0,1,0,75,23,179,0,97,0,100,0,6,0,77,22,30,8,1,37,103,0,38,92,22,0,110,28,1,4,147,117,62,17,29,98,16,3,28,39,277
Alice,102,0,2,1,0,95,94,0,32,0,52,46,11,17,62,3,0,5,0,32,0,16,6,26,0,28,9,2,9,16,68,49,3,4,35,29,25,20,20,37,25,0,25,36,0,10,5,64,10,75,0,43,7,81,0,24,1,12,6,14,7,10,29,58,0,29,16,8,5,71,4,4,3,23,92,37,6,10,22,0,4,7,2,32
Ancient Leshen,31,2,0,1,0,13,2,0,19,0,4,17,6,5,6,1,0,0,0,2,0,5,54,0,0,11,1,5,2,39,2,33,4,43,62,4,10,2,18,17,1,0,0,1,0,1,2,31,5,36,0,17,2,9,0,1,0,21,1,6,34,0,33,4,0,10,8,6,2,20,6,0,1,7,18,31,25,32,36,3,0,8,59,20
Angel,3,1,1,0,0,0,1,0,10,0,0,0,0,6,4,7,0,5,0,7,0,0,1,3,0,1,11,0,1,1,1,3,0,0,0,3,2,1,1,1,10,0,11,16,0,0,0,2,2,26,0,0,0,1,0,0,0,3,3,1,9,0,4,8,0,2,0,3,0,4,1,7,7,0,0,3,1,1,1,0,6,0,1,1
Angel - Alt 1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annie Christmas,60,95,13,0,0,0,44,0,66,0,63,44,3,20,18,3,0,3,0,19,0,0,2,13,0,17,0,6,1,88,7,91,1,9,63,25,47,35,35,16,17,0,5,5,0,0,1,52,1,70,0,29,0,47,0,9,2,57,1,2,5,0,29,26,0,76,10,18,0,45,12,3,2,10,20,28,18,52,48,4,1,16,3,21
Beowulf,57,94,2,1,0,44,0,0,35,0,20,29,0,35,37,3,0,6,0,30,0,4,0,17,0,25,1,2,0,10,23,60,7,2,28,32,1,9,28,38,20,0,18,22,0,2,0,59,1,63,0,18,0,49,0,7,0,1,5,0,0,1,13,39,0,15,6,14,0,23,5,2,2,10,21,26,1,2,18,0,2,7,2,13
Beowulf - Alt 1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bigfoot,179,32,19,10,0,66,35,0,0,0,45,24,13,96,30,3,0,5,0,13,0,23,40,3,0,50,15,39,1,146,10,108,13,18,40,22,325,3,114,81,22,0,15,17,0,0,1,173,14,100,0,192,0,151,0,7,1,107,3,6,2,1,42,63,0,21,99,40,0,74,21,2,3,99,84,36,30,9,69,6,4,22,26,217
Bigfoot - Alt 1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
