category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,-2,29,52,0,-2,40,37,-2,54,-2,43,43,52,28,34,40,-2,11,-2,49,-2,15,54,44,-2,30,100,54,-2,49,44,51,83,56,28,20,53,42,44,88,47,-2,0,39,-2,0,-2,39,22,43,-2,84,-2,42,-2,0,-2,42,23,37,38,0,38,42,-2,24,45,73,-2,36,43,0,25,78,42,15,35,38,35,56,33,25,41,58
Alice,71,-2,50,0,-2,63,49,-2,69,-2,48,41,45,35,42,33,-2,40,-2,38,-2,44,83,35,-2,43,11,100,50,50,51,67,100,100,37,62,52,40,75,73,64,-2,52,33,-2,67,100,44,78,53,-2,74,14,55,-2,29,100,64,50,64,29,50,62,47,-2,59,44,63,60,45,75,25,33,91,45,44,33,50,50,-2,0,43,100,63
Ancient Leshen,48,50,-2,0,-2,38,50,-2,42,-2,75,35,67,40,67,100,-2,-2,-2,100,-2,60,44,-2,-2,73,0,60,50,46,0,39,75,44,58,75,60,50,83,29,100,-2,-2,0,-2,100,50,61,40,61,-2,53,0,38,-2,100,-2,76,100,50,56,-2,64,50,-2,80,38,33,100,40,33,-2,0,57,94,48,64,53,57,67,-2,38,56,84
Angel,100,100,100,-2,-2,-2,100,-2,40,-2,-2,-2,-2,83,100,71,-2,80,-2,86,-2,-2,100,67,-2,0,64,-2,100,100,100,67,-2,-2,-2,67,100,0,100,100,50,-2,73,56,-2,-2,-2,0,100,54,-2,-2,-2,0,-2,-2,-2,33,67,0,38,-2,75,88,-2,50,-2,67,-2,75,100,43,57,-2,-2,67,0,0,100,-2,50,-2,100,100
Angel - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Annie Christmas,60,37,62,-2,-2,-2,41,-2,45,-2,62,39,67,40,33,33,-2,33,-2,37,-2,-2,50,38,-2,35,-2,50,100,70,57,60,100,78,51,36,47,29,71,75,65,-2,40,0,-2,-2,100,33,100,39,-2,69,-2,36,-2,22,50,57,0,0,20,-2,72,19,-2,37,60,72,-2,49,25,0,50,90,40,61,61,56,33,50,100,13,100,67
Beowulf,63,51,50,0,-2,59,-2,-2,63,-2,85,38,-2,49,54,0,-2,33,-2,30,-2,0,-2,41,-2,72,100,100,-2,80,48,33,100,50,61,25,100,11,57,74,35,-2,56,45,-2,50,-2,59,0,57,-2,89,-2,65,-2,71,-2,100,20,-2,-2,100,85,49,-2,47,67,79,-2,83,20,50,0,80,71,31,0,100,50,-2,0,71,100,85
Beowulf - Alt 1.0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,0,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2
Bigfoot,46,31,58,60,-2,55,37,-2,-2,-2,42,13,77,44,23,33,-2,40,-2,15,-2,43,53,100,-2,8,20,51,0,61,0,51,92,61,38,45,54,33,35,63,32,-2,20,18,-2,-2,100,54,86,26,-2,66,-2,48,-2,14,0,32,0,17,0,0,26,30,-2,38,46,78,-2,23,43,50,33,82,39,14,30,22,32,67,25,18,62,62
Bigfoot - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Black Panther,57,52,25,-2,-2,38,15,-2,58,-2,-2,56,50,33,39,13,-2,50,-2,5,-2,50,50,60,-2,42,0,76,-2,55,17,35,50,64,75,31,89,32,35,62,50,-2,0,100,-2,-2,-2,30,-2,66,-2,78,100,65,-2,65,-2,66,67,100,50,100,81,16,-2,57,78,82,-2,59,57,100,67,56,43,48,0,43,61,-2,-2,62,78,45
Black Widow,57,59,65,-2,-2,61,62,-2,88,-2,44,-2,71,60,67,-2,-2,-2,-2,41,-2,-2,100,40,-2,33,-2,50,-2,62,45,58,80,100,38,80,86,56,73,61,0,-2,33,60,-2,-2,-2,75,100,80,-2,58,-2,73,-2,22,-2,74,40,67,0,-2,49,44,-2,45,78,68,-2,66,47,-2,-2,51,85,45,64,39,71,80,-2,48,50,47
Blackbeard,48,55,33,-2,-2,33,-2,-2,23,-2,50,29,-2,0,45,-2,-2,-2,-2,56,-2,46,44,33,-2,36,0,55,-2,38,-2,0,67,80,25,0,62,50,63,0,0,-2,-2,18,-2,100,100,18,42,75,-2,36,-2,23,-2,100,-2,63,0,35,100,-2,60,40,-2,50,-2,50,-2,54,100,-2,-2,57,-2,54,0,14,45,-2,0,100,56,41
Bloody Mary,72,65,60,17,-2,60,51,-2,56,-2,67,40,100,-2,79,0,-2,40,-2,46,-2,67,100,33,-2,50,35,50,-2,90,93,74,67,78,58,42,66,40,89,72,44,-2,39,31,-2,-2,-2,38,86,80,-2,80,0,81,-2,36,-2,75,56,36,56,-2,80,41,-2,50,75,100,100,71,17,50,65,82,100,48,50,25,42,100,0,100,100,47
Bruce Lee,66,58,33,0,-2,67,46,-2,77,-2,61,33,55,21,-2,25,-2,54,-2,40,-2,63,47,45,-2,42,20,25,100,58,67,64,78,41,50,42,67,25,55,76,28,-2,64,18,-2,-2,100,57,54,74,-2,68,-2,65,-2,33,50,32,0,67,42,-2,43,51,-2,50,67,80,-2,45,52,33,39,39,41,43,47,100,44,100,0,25,50,42
Buffy Giles,60,67,0,29,-2,67,100,-2,67,-2,88,-2,-2,100,75,-2,-2,0,-2,45,-2,-2,-2,67,-2,67,100,100,-2,100,57,75,75,-2,50,60,-2,67,0,50,48,-2,45,25,-2,-2,-2,86,-2,75,-2,100,-2,100,-2,100,100,-2,50,-2,-2,-2,60,59,-2,0,-2,100,-2,100,75,0,67,33,67,0,-2,100,100,-2,33,100,-2,50
